id,trade_date,setup_name,direction,grade,score,ts_et,spot,charm_limit_entry,abs_es_price,lis,target,max_plus_gex,max_minus_gex,gap_to_lis,paradigm,vix,overvix,greek_alignment,spot_vol_beta,outcome_result,outcome_pnl,outcome_max_profit,outcome_max_loss,outcome_elapsed_min,outcome_first_event,outcome_target_level,outcome_stop_level,bofa_stop_level,bofa_target_level,abs_vol_ratio,vanna_all,vanna_weekly,vanna_monthly,comments
681,2026-03-11,Skew Charm,short,A+,85.0,2026-03-11 10:52:35.985307,6789.49,,,,6779.49,,,,SIDIAL-EXTREME,24.26,,-1,-0.36,WIN,15.1,28.24,-6.18,31,target,6769.25,6809.49,,,,5392067166.59,32641558.49,2618603644.04,
683,2026-03-11,DD Exhaustion,short,A-Entry,46.0,2026-03-11 11:14:04.199740,6770.41,,,,,,,,SIDIAL-EXTREME,24.91,,-1,-0.25,WIN,13.6,22.28,-4.66,36,target,6753.1299,6782.41,,,,5313382942.37,19049288.27,2499305556.83,
689,2026-03-11,AG Short,short,A-Entry,65.0,2026-03-11 11:37:07.380960,6761.49,,,6765.0,6746.0,6855.0,6750.0,3.51,AG-LIS,25.16,,-3,0.26,WIN,5.0,14.38,-1.37,53,target,6761.49,6781.49,,,,5379870970.97,-87152894.32,2223242333.37,
701,2026-03-11,Skew Charm,short,C,38.0,2026-03-11 13:40:34.237920,6760.51,,,,6750.51,,,,AG-LIS,25.21,,-1,-0.12,WIN,6.4,10.78,-7.02,37,target,6757.73,6780.51,,,,5419519408.02,-98328987.03,2321628467.35,
702,2026-03-11,DD Exhaustion,short,A,55.0,2026-03-11 13:42:34.779197,6751.48,,,,,,,,BOFA-PURE,25.57,,-1,0.41,LOSS,-12.0,-0.62,-12.26,8,stop,,6763.48,,,,5444561633.77,-87137482.24,2212608318.91,
704,2026-03-11,BofA Scalp,short,A+,95.0,2026-03-11 14:15:34.875230,6756.0,,,6760.0,6746.0,,,4.0,BOFA-PURE,25.43,,-1,0.42,EXPIRED,-6.9,1.12,-10.49,30,timeout,6746.0,6772.0,6772.0,6746.0,,5447578766.31,-100109490.38,2157196469.51,
705,2026-03-11,DD Exhaustion,short,A+,75.0,2026-03-11 14:22:04.128768,6762.83,,,,,,,,BOFA-PURE,25.19,,-1,0.51,LOSS,-12.0,7.01,-12.72,93,stop,,6774.83,,,,5469675523.42,-82183255.55,2308941007.87,
706,2026-03-11,Skew Charm,short,C,43.0,2026-03-11 14:22:04.752717,6762.83,,,,6752.83,,,,BOFA-PURE,25.19,,-1,0.51,EXPIRED,-10.6,7.01,-12.72,95,timeout,,6782.83,,,,5469675523.42,-82183255.55,2308941007.87,
709,2026-03-11,Skew Charm,short,C,41.0,2026-03-11 15:05:37.584716,6759.89,,,,6749.89,,,,BOFA-PURE,25.01,,-1,-0.08,EXPIRED,-13.6,4.07,-15.66,51,timeout,,6779.89,,,,5504383564.42,-96105546.35,2294677323.79,
710,2026-03-11,DD Exhaustion,short,A+,85.0,2026-03-11 15:12:37.465065,6756.91,,,,,,,,BOFA-PURE,25.18,,-1,0.21,LOSS,-12.0,1.09,-13.83,25,stop,,6768.91,,,,5509881983.7,-88531340.3,2327426519.62,
712,2026-03-11,Skew Charm,short,C,40.0,2026-03-11 15:37:07.896600,6767.28,,,,6757.28,,,,BOFA-PURE,24.62,,-1,0.02,EXPIRED,-6.2,0.6,-8.27,19,timeout,,6787.28,,,,5551951898.14,-75776484.83,2417526517.89,
715,2026-03-12,AG Short,short,A,75.0,2026-03-12 09:38:29.174459,6724.73,,,6741.0,6668.0,6800.0,6650.0,16.27,AG-PURE,25.91,,-3,1.28,WIN,15.4,25.83,-1.53,10,target,6703.8999,6744.73,,,,5504386191.09,-99076891.74,1763781828.63,
718,2026-03-12,AG Short,short,A,75.0,2026-03-12 10:04:00.969759,6716.39,,,6736.0,6597.0,6800.0,6650.0,19.61,AG-PURE,25.92,,-3,1.65,WIN,17.1,29.21,-5.72,31,target,6692.1802,6736.39,,,,5496717006.12,-145497165.4,1526176979.73,
719,2026-03-12,AG Short,short,A,75.0,2026-03-12 10:08:31.103250,6716.31,6724.5,,6731.0,6678.0,6800.0,6650.0,14.69,AG-PURE,25.95,,-3,0.91,WIN,16.1,27.18,-7.75,27,target,6692.1802,6734.36,,,,5613441758.77,-103443708.23,1893745160.23,
722,2026-03-12,AG Short,short,A,80.0,2026-03-12 10:27:31.970954,6704.06,,,6716.0,6586.0,6800.0,6650.0,11.94,AG-PURE,26.32,,-3,1.3,WIN,10.9,16.88,3.24,7,target,6692.1802,6724.06,,,,5540993024.26,-126208806.0,1625101083.62,
725,2026-03-12,AG Short,short,A,80.0,2026-03-12 10:57:32.231190,6698.43,6701.0,,6702.0,6669.0,6795.0,6650.0,3.57,AG-LIS,26.4,,-3,1.32,WIN,11.7,18.33,1.89,20,target,6685.1001,6718.43,,,,5507812567.78,-121206983.44,1539676609.82,
728,2026-03-12,AG Short,short,A,80.0,2026-03-12 11:25:31.841691,6689.41,6701.0,,6689.0,6665.0,6760.0,6650.0,1.59,AG-PURE,26.86,,-3,1.9,LOSS,-20.0,3.89,-21.54,21,stop,,6705.13,,,,5443285484.21,-141509765.94,1381308451.73,
736,2026-03-12,AG Short,short,A,80.0,2026-03-12 12:13:59.624372,6695.77,6701.0,,6698.0,6659.0,6780.0,6650.0,2.23,AG-LIS,26.44,,-3,1.35,LOSS,-20.0,3.03,-23.29,9,stop,,6712.72,,,,5514053539.21,-144313782.79,1603632848.78,
744,2026-03-12,BofA Scalp,short,A,85.0,2026-03-12 13:31:34.660130,6701.57,,,6702.0,6691.57,,,0.43,BOFA-PURE,25.79,,-3,0.83,WIN,10.0,10.15,-5.32,14,10pt,6691.57,6714.0,6714.0,6691.57,,7184692246.26,-103781702.27,1602241455.8,
745,2026-03-12,BofA Scalp,short,A,75.0,2026-03-12 13:37:12.147299,6704.6,,,6702.0,6694.6,,,2.6,BOFA-PURE,25.74,,-3,0.83,WIN,10.0,12.39,-2.29,8,10pt,6694.6,6714.0,6714.0,6694.6,,7158546960.64,-110620328.7,1591997240.14,
760,2026-03-13,Skew Charm,short,B,55.0,2026-03-13 09:48:24.018498,6729.5,6738.0,,,6719.5,,,,GEX-LIS,24.82,,-1,-1.93,WIN,6.4,10.88,2.16,6,target,6726.62,6749.5,,,,7547047616.07,-43645753.27,2187721318.7,
779,2026-03-13,BofA Scalp,short,A-Entry,60.0,2026-03-13 12:04:01.019600,6649.89,6658.0,,6650.0,6639.89,,,0.11,BofA-LIS,27.26,,-3,-0.2,EXPIRED,-4.8,4.65,-6.32,30,timeout,6639.89,6662.0,6662.0,6639.89,,6893020894.06,-184690766.09,650595665.75,
791,2026-03-13,Paradigm Reversal,short,A-Entry,48.8,2026-03-13 13:13:15.946315,6653.74,6658.0,,6654.0,,,,0.26,BOFA-MESSY,27.07,,-3,-0.54,WIN,10.0,13.1,-5.77,33,10pt,6643.74,6668.74,,,,7649348051.08,-136193673.25,1403973071.51,
801,2026-03-13,BofA Scalp,short,A,75.0,2026-03-13 14:11:45.944397,6643.86,6648.0,,6648.0,6633.86,,,4.14,BOFA-PURE,27.38,,-3,-0.41,EXPIRED,-7.0,8.51,-9.1,30,timeout,6633.86,6660.0,6660.0,6633.86,,7669586666.6,-61914774.6,1333682138.75,
802,2026-03-13,DD Exhaustion,short,A,58.0,2026-03-13 14:25:44.571219,6637.86,6648.0,,,,,,,BOFA-PURE,27.49,,-1,-0.42,LOSS,-12.0,0.26,-12.89,8,stop,,6649.86,,,,7646013161.06,-26658371.75,1267691008.18,
803,2026-03-13,BofA Scalp,short,A,75.0,2026-03-13 14:32:15.189795,6646.97,6662.5,,6651.0,6636.97,,,4.03,BOFA-PURE,27.25,,-1,-0.33,EXPIRED,-1.8,-1.17,-9.6,30,timeout,6636.97,6663.0,6663.0,6636.97,,7671552240.18,-7620072.21,1308516787.51,
