trs_t,div_t,dcl_min,dz_min,gate,n_sigs,spd,wr,pnl,max_dd,pf,quality
0.2,0.05,2,0.5,trend_cons_60,90,4.5,0.389,5.2,-46.5,1.02,5.4
0.2,0.05,2,0.5,none,90,4.5,0.389,5.2,-46.5,1.02,5.4
0.5,0.0,3,1.0,at_extreme,137,6.8,0.46,5.2,-50.8,1.02,5.3
0.25,0.15,0,0.5,vol_climax,20,1.0,0.35,3.2,-16.0,1.1,3.6
0.2,0.1,0,0.5,vol_climax,20,1.0,0.35,3.2,-16.0,1.1,3.6
0.45,0.1,0,0.5,vol_climax,20,1.0,0.35,3.2,-16.0,1.1,3.6
0.45,0.15,0,0.5,vol_climax,20,1.0,0.35,3.2,-16.0,1.1,3.6
0.25,0.1,0,0.5,vol_climax,20,1.0,0.35,3.2,-16.0,1.1,3.6
0.45,0.2,0,0.5,vol_climax,20,1.0,0.35,3.2,-16.0,1.1,3.6
0.3,0.15,0,0.5,vol_climax,20,1.0,0.35,3.2,-16.0,1.1,3.6
0.45,0.05,0,0.5,vol_climax,20,1.0,0.35,3.2,-16.0,1.1,3.6
0.3,0.2,0,0.5,vol_climax,20,1.0,0.35,3.2,-16.0,1.1,3.6
0.5,0.2,0,0.5,vol_climax,20,1.0,0.35,3.2,-16.0,1.1,3.6
0.5,0.15,0,0.5,vol_climax,20,1.0,0.35,3.2,-16.0,1.1,3.6
0.5,0.1,0,0.5,vol_climax,20,1.0,0.35,3.2,-16.0,1.1,3.6
0.35,0.2,0,0.5,vol_climax,20,1.0,0.35,3.2,-16.0,1.1,3.6
0.2,0.15,0,0.5,vol_climax,20,1.0,0.35,3.2,-16.0,1.1,3.6
0.4,0.05,0,0.5,vol_climax,20,1.0,0.35,3.2,-16.0,1.1,3.6
0.5,0.05,0,0.5,vol_climax,20,1.0,0.35,3.2,-16.0,1.1,3.6
0.25,0.2,0,0.5,vol_climax,20,1.0,0.35,3.2,-16.0,1.1,3.6
0.2,0.05,0,0.5,vol_climax,20,1.0,0.35,3.2,-16.0,1.1,3.6
0.3,0.05,0,0.5,vol_climax,20,1.0,0.35,3.2,-16.0,1.1,3.6
0.2,0.2,0,0.5,vol_climax,20,1.0,0.35,3.2,-16.0,1.1,3.6
0.35,0.05,0,0.5,vol_climax,20,1.0,0.35,3.2,-16.0,1.1,3.6
0.35,0.1,0,0.5,vol_climax,20,1.0,0.35,3.2,-16.0,1.1,3.6
0.4,0.1,0,0.5,vol_climax,20,1.0,0.35,3.2,-16.0,1.1,3.6
0.35,0.15,0,0.5,vol_climax,20,1.0,0.35,3.2,-16.0,1.1,3.6
0.4,0.15,0,0.5,vol_climax,20,1.0,0.35,3.2,-16.0,1.1,3.6
0.25,0.05,0,0.5,vol_climax,20,1.0,0.35,3.2,-16.0,1.1,3.6
0.4,0.2,0,0.5,vol_climax,20,1.0,0.35,3.2,-16.0,1.1,3.6
0.3,0.1,0,0.5,vol_climax,20,1.0,0.35,3.2,-16.0,1.1,3.6
0.55,0.15,2,1.0,none,27,1.4,0.407,2.0,-26.8,1.03,2.1
0.55,0.05,2,1.0,none,27,1.4,0.407,2.0,-26.8,1.03,2.1
0.55,0.2,2,1.0,trend_cons_60,27,1.4,0.407,2.0,-26.8,1.03,2.1
0.55,0.15,2,1.0,trend_cons_60,27,1.4,0.407,2.0,-26.8,1.03,2.1
0.55,0.1,2,1.0,trend_cons_60,27,1.4,0.407,2.0,-26.8,1.03,2.1
0.55,0.2,2,1.0,none,27,1.4,0.407,2.0,-26.8,1.03,2.1
0.55,0.1,2,1.0,none,27,1.4,0.407,2.0,-26.8,1.03,2.1
0.55,0.05,2,1.0,trend_cons_60,27,1.4,0.407,2.0,-26.8,1.03,2.1
0.55,0.2,2,0.0,none,34,1.7,0.471,1.5,-36.2,1.02,1.5
0.55,0.1,2,0.0,trend_cons_60,34,1.7,0.471,1.5,-36.2,1.02,1.5
0.55,0.1,2,0.0,none,34,1.7,0.471,1.5,-36.2,1.02,1.5
0.55,0.05,2,0.0,none,34,1.7,0.471,1.5,-36.2,1.02,1.5
0.55,0.2,2,0.0,trend_cons_60,34,1.7,0.471,1.5,-36.2,1.02,1.5
0.55,0.15,2,0.0,trend_cons_60,34,1.7,0.471,1.5,-36.2,1.02,1.5
0.55,0.15,2,0.0,none,34,1.7,0.471,1.5,-36.2,1.02,1.5
0.55,0.05,2,0.0,trend_cons_60,34,1.7,0.471,1.5,-36.2,1.02,1.5
0.55,0.0,2,0.0,at_extreme,137,6.8,0.423,-1.0,-48.5,1.0,-1.0
0.5,0.0,0,1.5,at_extreme,129,6.5,0.45,-5.0,-65.8,0.98,-5.1
0.55,0.0,0,0.5,none,158,7.9,0.38,-7.5,-76.8,0.98,-7.6
0.55,0.0,0,0.5,trend_cons_60,158,7.9,0.38,-7.5,-76.8,0.98,-7.6
0.5,0.0,3,1.5,none,137,6.8,0.438,-7.5,-65.8,0.98,-7.7
0.5,0.0,3,1.5,trend_cons_60,137,6.8,0.438,-7.5,-65.8,0.98,-7.7
0.55,0.2,2,0.5,none,32,1.6,0.406,-7.5,-38.2,0.9,-8.4
0.55,0.1,2,0.5,none,32,1.6,0.406,-7.5,-38.2,0.9,-8.4
0.55,0.15,2,0.5,trend_cons_60,32,1.6,0.406,-7.5,-38.2,0.9,-8.4
0.55,0.1,2,0.5,trend_cons_60,32,1.6,0.406,-7.5,-38.2,0.9,-8.4
0.55,0.15,2,0.5,none,32,1.6,0.406,-7.5,-38.2,0.9,-8.4
0.5,0.0,2,1.0,at_extreme,158,7.9,0.449,-8.2,-65.8,0.98,-8.4
0.55,0.05,2,0.5,none,32,1.6,0.406,-7.5,-38.2,0.9,-8.4
0.55,0.05,2,0.5,trend_cons_60,32,1.6,0.406,-7.5,-38.2,0.9,-8.4
0.55,0.2,2,0.5,trend_cons_60,32,1.6,0.406,-7.5,-38.2,0.9,-8.4
0.35,0.15,2,0.5,none,88,4.4,0.375,-9.0,-48.2,0.96,-9.4
0.35,0.15,2,0.5,trend_cons_60,88,4.4,0.375,-9.0,-48.2,0.96,-9.4
0.35,0.2,2,0.5,trend_cons_60,88,4.4,0.375,-9.0,-48.2,0.96,-9.4
0.35,0.2,2,0.5,none,88,4.4,0.375,-9.0,-48.2,0.96,-9.4
0.35,0.1,2,0.5,trend_cons_60,88,4.4,0.375,-9.0,-48.2,0.96,-9.4
0.35,0.1,2,0.5,none,88,4.4,0.375,-9.0,-48.2,0.96,-9.4
0.35,0.05,2,0.5,trend_cons_60,88,4.4,0.375,-9.0,-48.2,0.96,-9.4
0.35,0.05,2,0.5,none,88,4.4,0.375,-9.0,-48.2,0.96,-9.4
0.55,0.1,2,1.5,none,24,1.2,0.417,-8.5,-20.2,0.84,-10.1
0.55,0.1,2,1.5,trend_cons_60,24,1.2,0.417,-8.5,-20.2,0.84,-10.1
0.55,0.05,2,1.5,trend_cons_60,24,1.2,0.417,-8.5,-20.2,0.84,-10.1
0.55,0.05,2,1.5,none,24,1.2,0.417,-8.5,-20.2,0.84,-10.1
0.55,0.15,2,1.5,trend_cons_60,24,1.2,0.417,-8.5,-20.2,0.84,-10.1
0.55,0.15,2,1.5,none,24,1.2,0.417,-8.5,-20.2,0.84,-10.1
0.55,0.2,2,1.5,none,24,1.2,0.417,-8.5,-20.2,0.84,-10.1
0.55,0.2,2,1.5,trend_cons_60,24,1.2,0.417,-8.5,-20.2,0.84,-10.1
0.55,0.0,2,1.0,trend_cons_60,134,6.7,0.396,-10.8,-67.5,0.97,-11.1
0.55,0.0,2,1.0,none,134,6.7,0.396,-10.8,-67.5,0.97,-11.1
0.5,0.05,0,1.5,none,38,1.9,0.368,-10.2,-33.8,0.89,-11.5
0.5,0.1,0,1.5,none,38,1.9,0.368,-10.2,-33.8,0.89,-11.5
