time,open,high,low,close,Volume,Volume MA,RSI,RSI-based MA,Regular Bullish,Regular Bullish Label,Regular Bearish,Regular Bearish Label,VIX · TVC: close
1773928800,6594.15,6598.94,6590.75,6590.81,45384620,39423738.455,32.4273859587106,27.005703300310262,,,,,25.65
1773929100,6591.43,6596.8,6589.26,6589.86,40054140,39525049.505,32.0792329700901,26.908064723678574,,,,,25.71
1773929400,6590.53,6602.72,6588.59,6589.96,42588950,39652640.355,32.16179751603232,27.04997854469798,,,,,25.64
1773929700,6589.53,6591.44,6581.2,6584.44,38075250,39738687.355,29.99432374386855,27.23414243283067,,,,,25.84
1773930000,6584.57,6588.83,6576.11,6576.92,34192560,39811502.255,27.29553667006715,27.279412602157443,,,,,26.15
1773930300,6576.95,6579.45,6569.35,6571.63,31273200,39871077.355,25.553705917384363,27.006166949759567,,,,,26.41
1773930600,6571.64,6592.91,6571.12,6592.77,37605180,39939793.055,41.593810159330395,28.067610621319513,,,,,25.71
1773930900,6592.68,6598.01,6579.92,6582.47,32877350,39998823.355,37.36912842816337,28.79273260052451,,,,,25.91
1773931200,6582.29,6590.69,6581.58,6583.26,27162230,40039745.805,37.89020308424725,30.610157174723334,,,,,25.66
1773931500,6583.09,6587.09,6579.95,6587.09,27044890,40072220.355,40.47580346572376,32.517110207987045,,,,,25.62
1773931800,6587.78,6591.84,6584.22,6585.54,31700780,40137902.105,39.7545209153562,33.68147625271452,,,,,25.58
1773932100,6586.15,6591.49,6582.02,6587.14,26583770,40159546.155,40.924796491781834,34.65652758293843,,,,,25.47
1773932400,6586.5,6593.15,6583.97,6593.15,31800410,40190028.005,45.22863912746865,35.440638292650526,,,,,25.3
1773932700,6593.39,6604.93,6592.42,6596.77,34524540,40265188.905,47.70019269579187,36.46064836742973,,,,,25.14
1773933000,6596.65,6601.77,6595.43,6601.47,28099730,40289364.855,50.80417149127456,37.77327590547001,,,,,24.93
1773933300,6601.81,6604.41,6589.26,6589.5,28974460,40297277.155,43.69200932503531,38.60275993082324,,,,,25.12
