id,ts_et,setup_name,direction,grade,score,spot,paradigm,greek_alignment,vix,overvix,outcome_result,outcome_pnl,outcome_max_profit,outcome_max_loss,outcome_elapsed_min,outcome_first_event,outcome_target_level,outcome_stop_level
528,2026-03-05 15:05:26.272630,Skew Charm,long,C,36.0,6793.31,BOFA-PURE,1,25.33,,WIN,13.2,24.45,-9.03,24,target,,6809.76
533,2026-03-05 15:14:38.992902,Skew Charm,short,C,43.0,6800.47,BOFA-PURE,-1,24.43,,LOSS,-20.0,0.68,-21.7,36,stop,,6820.47
537,2026-03-05 15:44:40.271460,Skew Charm,short,LOG,15.0,6812.01,AG-LIS,-1,23.79,,EXPIRED,-15.2,3.15,-15.99,12,timeout,,6832.01
540,2026-03-06 09:46:39.024011,Skew Charm,short,A,78.0,6721.58,SIDIAL-MESSY,-1,28.08,,WIN,6.0,10.02,-10.01,13,target,,6719.5601
547,2026-03-06 10:17:08.703975,Skew Charm,short,A,78.0,6742.35,AG-TARGET,-1,26.53,,LOSS,-20.0,-0.78,-20.2,14,stop,,6762.35
551,2026-03-06 10:50:08.429836,Skew Charm,short,A,78.0,6751.02,SIDIAL-MESSY,-1,26.33,,WIN,6.9,11.77,-8.39,5,target,,6747.25
556,2026-03-06 11:28:37.777164,Skew Charm,short,A,78.0,6753.45,AG-TARGET,-1,26.05,,WIN,9.8,17.52,-19.1,79,target,,6743.93
560,2026-03-06 11:59:38.386994,Skew Charm,short,A,73.0,6766.0,AG-TARGET,-1,25.84,,WIN,9.2,16.48,-4.76,22,target,,6757.52
565,2026-03-06 12:36:38.561439,Skew Charm,short,B,63.0,6748.07,BofA-LIS,-1,26.81,,WIN,7.1,12.14,3.28,11,target,,6743.93
570,2026-03-06 13:12:07.428288,Skew Charm,short,B,58.0,6759.83,BofA-LIS,-1,26.5,,WIN,17.7,33.31,-13.3,148,target,,6734.52
574,2026-03-06 13:48:39.890202,Skew Charm,short,B,58.0,6758.84,GEX-PURE,-1,26.85,,WIN,17.2,32.32,-12.23,111,target,,6734.52
578,2026-03-06 14:19:09.380786,Skew Charm,short,C,48.0,6760.25,BofA-LIS,-1,26.64,,WIN,17.9,33.73,-10.82,80,target,,6734.52
582,2026-03-06 14:49:38.241364,Skew Charm,short,C,41.0,6757.72,BofA-LIS,-1,26.83,,WIN,16.6,31.2,-13.35,50,target,,6734.52
586,2026-03-06 15:19:38.565614,Skew Charm,short,C,46.0,6754.22,BofA-LIS,1,27.25,,WIN,14.8,27.7,2.21,20,target,,6734.52
591,2026-03-09 09:45:38.528225,Skew Charm,long,B,63.0,6651.4,BOFA-PURE,3,31.32,,WIN,10.1,18.18,-12.81,20,target,,6661.58
596,2026-03-09 10:15:39.853767,Skew Charm,long,A,73.0,6645.93,BofA-LIS,3,31.5,,WIN,11.5,21.05,-3.56,10,target,,6658.98
597,2026-03-09 10:40:08.295148,Skew Charm,short,C,48.0,6672.72,GEX-LIS,-1,29.71,,LOSS,-20.0,1.22,-20.78,15,stop,,6692.72
602,2026-03-09 11:14:09.122285,Skew Charm,short,C,43.0,6698.96,GEX-LIS,-1,28.17,,LOSS,-20.0,1.42,-25.07,72,stop,,6718.96
604,2026-03-09 11:44:40.317880,Skew Charm,short,B,58.0,6698.45,BOFA-PURE,-1,28.09,,LOSS,-20.0,0.6,-25.58,42,stop,,6718.45
606,2026-03-09 12:16:41.427145,Skew Charm,short,C,43.0,6710.86,BOFA-PURE,-1,27.51,,LOSS,-20.0,4.47,-20.12,26,stop,,6730.86
608,2026-03-09 12:51:08.450842,Skew Charm,short,C,48.0,6731.12,BOFA-PURE,-1,26.53,,WIN,19.8,37.62,-1.42,61,target,,6701.5
